"","stocks","beta"
"118","CAG","0.19589305871199"
"119","COP","0.39139289495698"
"120","CNX","0.217070050736259"
"121","ED","0.371732443599986"
"122","STZ","0.28607690413641"
"123","GLW","0.0908295328136814"
"124","COST","0.663906407809017"
"125","COV","0.359954597090708"
"126","CCI","0.440743118716545"
"127","CSX","0.152725223109494"
"128","CMI","0.743731677492628"
"129","CVS","0.349651764977978"
"130","DHI","0.129989893065202"
"131","DHR","0.402509481847053"
"132","DRI","0.318740482389635"
"133","DVA","0.359157822193836"
"134","DE","0.542538282277365"
"135","DELL","0.0888957887240886"
"136","DLPH","0.277430144287674"
"137","DAL","0.107472621617411"
"138","DNR","0.114003610936397"
"139","XRAY","0.27153515032044"
"140","DVN","0.387505880425248"
"141","DO","0.414204737668745"
"142","DTV","0.366088647526204"
"143","DFS","0.277410638045299"
"144","DISCA","0.450186424971058"
"145","DG","0.338277360027366"
"146","DLTR","0.325563691470667"
"147","D","0.361289218379885"
"148","DOV","0.471905403674258"
"149","DOW","0.219866503003688"
"150","DPS","0.286254946016957"
"151","DTE","0.402669339706481"
"152","DD","0.340519854366671"
"153","DUK","0.428001724039701"
"154","DNB","0.590200808484377"
"155","ETFC","0.0791796341764431"
"156","EMN","0.425678472069203"
"157","ETN","0.37514021585315"
"158","EBAY","0.321679569444573"
"159","ECL","0.522741138778336"
"160","EIX","0.297098155593469"
"161","EW","0.525626137833529"
"162","EA","0.124605081029706"
"163","EMC","0.165099215188472"
"164","EMR","0.36209345270347"
"165","ESV","0.359993099414335"
"166","ETR","0.41931719984554"
"167","EOG","0.861409893420728"
"168","EQT","0.448381508620086"
"169","EFX","0.359688416286807"
"170","EQR","0.363018355314949"
"171","EL","0.42170076657992"
"172","EXC","0.209882327843117"
"173","EXPE","0.352454229689829"
"174","EXPD","0.263306752794926"
"175","ESRX","0.395145800436756"
"176","XOM","0.576369272188331"
"177","FFIV","0.632567790008384"
"178","FDO","0.420684419897212"
"179","FAST","0.303654444083649"
"180","FDX","0.677259634842464"
"181","FIS","0.25569371054047"
"182","FITB","0.10677842098965"
"183","FSLR","0.235409389635122"
"184","FE","0.25879167607687"
"185","FISV","0.280738182997652"
"186","FLIR","0.166575084125164"
"187","FLS","0.338991623147601"
"188","FLR","0.407532076960086"
"189","FMC","0.395150283950604"
"190","FTI","0.328965732104785"
"191","F","0.0870821917716287"
"192","FRX","0.264017227208427"
"193","FOSL","0.685227566699616"
"194","BEN","0.301051004560264"
"195","FCX","0.215362889975911"
"196","FTR","0.0264153196311504"
"197","GME","0.210803905572583"
"198","GCI","0.130988764995367"
"199","GPS","0.226103129244026"
"200","GRMN","0.259961556566346"
"201","GD","0.484103028347849"
"202","GE","0.144792673867544"
"203","GIS","0.285916958185777"
"204","GM","0.195366565053439"
"205","GPC","0.461381270730909"
"206","GNW","0.0637378021149923"
"207","GILD","0.299556616352496"
"208","GS","0.901574781817095"
"209","GT","0.100970713658031"
"210","GOOG","5.2489099223973"
"211","GWW","1.49093076379814"
"212","HAL","0.264142351051343"
"213","HOG","0.348907320403227"
"214","HAR","0.350938422734838"
"215","HRS","0.325535433936596"
"216","HIG","0.167392308151714"
"217","HAS","0.268676959777918"
"218","HCP","0.277367670721907"
"219","HCN","0.387263427808548"
"220","HP","0.398705476796599"
"221","HES","0.422649556770357"
"222","HPQ","0.142043525101083"
"223","HD","0.428510368944152"
"224","HON","0.462506865463872"
"225","HRL","0.23477096270163"
"226","HSP","0.235834305269966"
"227","HST","0.108912213956081"
"228","HCBK","0.0529336955460081"
"229","HUM","0.540550959235428"
"230","HBAN","0.0477835494022134"
"231","ITW","0.422625091296032"
"232","IR","0.277832918494674"
"233","TEG","0.353771452731434"
"234","INTC","0.153384725878664"
"235","ICE","1.04724130031814"
"236","IBM","1.26500655518816"
"237","IGT","0.105083917711113"
"238","IP","0.262555570100458"
"239","IPG","0.0866680737125146"
"240","IFF","0.460682518334613"
"241","INTU","0.410720742045596"
"242","ISRG","3.14464415258257"
"243","IVZ","0.183755408706241"
"244","IRM","0.191380491061806"
"245","JBL","0.134176189099762"
"246","JEC","0.328916701401911"
"247","JDSU","0.085405354017485"
"248","JNJ","0.503704738296803"
"249","JCI","0.230151327030284"
"250","JOY","0.391654108312772"
"251","JPM","0.301420919945883"
"252","JNPR","0.130091029600533"
"253","KSU","0.619352261950385"
"254","K","0.370777582675625"
"255","KEY","0.0648516645157616"
"256","KMB","0.583419662155908"
"257","KIM","0.134919121804474"
"258","KMI","0.226977866435531"
"259","KLAC","0.349571104950987"
"260","KSS","0.323672378721426"
"261","KRFT","0.313343047226981"
"262","KR","0.200783818780331"
"263","LTD","0.329946025835338"
"264","LLL","0.532662644942908"
"265","LH","0.611551182965955"
"266","LRCX","0.286938430675998"
"267","LM","0.200230249255502"
"268","LEG","0.175996420689156"
"269","LEN","0.22582933382785"
"270","LUK","0.167557004799166"
"271","LIFE","0.401977238763514"
"272","LLY","0.31218710995296"
"273","LNC","0.214921331519301"
"274","LLTC","0.23465493020379"
"275","LMT","0.667824469947237"
"276","L","0.284849054148208"
"277","LO","0.273848058395577"
"278","LOW","0.244913196553688"
"279","LSI","0.049878030117843"
"280","LYB","0.373962489845795"
"281","MTB","0.649160014498277"
"282","MAC","0.379273936497136"
"283","M","0.276985539948614"
"284","MRO","0.210146577892573"
"285","MPC","0.416566413597958"
"286","MAR","0.26344325285121"
"287","MMC","0.245492552929446"
"288","MAS","0.114612384203268"
"289","MA","0.35986526975088"
"290","MAT","0.251862315532734"
"291","MKC","0.417840382322278"
"292","MCD","0.610267920111885"
"293","MHFI","0.363067237069033"
"294","MCK","0.728903114258849"
"295","MJN","0.500174732044427"
"296","MWV","0.213484725579122"
"297","MDT","0.30392829232042"
"298","MRK","0.284188631467969"
"299","MET","0.262105090099367"
"300","MCHP","0.23521664822052"
"301","MU","0.0727508043343061"
"302","MSFT","0.203650187974793"
"303","MOLX","0.191322469346866"
"304","TAP","0.304268932281295"
"305","MDLZ","0.188215415717397"
"306","MON","0.621859812469653"
"307","MNST","0.383333313752628"
"308","MCO","0.354760366115134"
"309","MS","0.145058762826232"
"310","MOS","0.346279298195157"
"311","MSI","0.362705318777888"
"312","MUR","0.342517220326396"
"313","MYL","0.197956394950667"
"314","NBR","0.105106228129029"
"315","NDAQ","0.190001920008342"
"316","NOV","0.484616083597125"
"317","NTAP","0.242524184904072"
"318","NFLX","1.20712988223879"
"319","NWL","0.153024411632375"
"320","NFX","0.186785260868914"
"321","NEM","0.255328917233951"
"322","NWSA","0.0967688641512197"
"323","NEE","0.476827776190746"
"324","NLSN","0.216539079826227"
"325","NKE","0.387249175206181"
"326","NI","0.177828918835739"
"327","NE","0.24120311305748"
"328","NBL","0.365972191405652"
"329","JWN","0.364771097322823"
"330","NSC","0.479032655013971"
"331","NTRS","0.336056307010521"
"332","NOC","0.506186747639355"
"333","NU","0.257127486069713"
"334","NRG","0.151509320489876"
"335","NUE","0.28535722589411"
"336","NVDA","0.0909861758859063"
"337","KORS","0.383163746894401"
"338","ORLY","0.69000411835102"
"339","OXY","0.57168778041724"
"340","OMC","0.371458267945484"
"341","OKE","0.310226068369538"
"342","ORCL","0.210328641561078"
"343","OI","0.168391954158278"
"344","PCG","0.271965127825219"
"345","PCAR","0.313000974884836"
"346","PLL","0.437383405867939"
"347","PH","0.616909131441375"
"348","PDCO","0.239729250271066"
"349","PAYX","0.228763381110308"
"350","BTU","0.148136168993104"
"351","JCP","0.131246896814168"
"352","PNR","0.345418816395929"
"353","PBCT","0.0838065715549852"
"354","POM","0.123059632659811"
"355","PEP","0.485868162651012"
"356","PKI","0.211665461069222"
"357","PRGO","0.783527111802675"
"358","PETM","0.437739220389891"
"359","PFE","0.171336439450777"
"360","PM","0.558374755249115"
"361","PSX","0.354642891794244"
"362","PNW","0.337746843360805"
"363","PXD","0.882520713976824"
"364","PBI","0.10147452438165"
"365","PCL","0.285241795095458"
"366","PNC","0.431583586713377"
"367","RL","1.08209263493008"
"368","PPG","0.894635543702147"
"369","PPL","0.186956179596526"
"370","PX","0.740421090033209"
"371","PCP","1.31771671307802"
"372","PCLN","5.21263397656545"
"373","PFG","0.22394017331098"
"374","PG","0.470272139643737"
"375","PGR","0.146403465144909"
"376","PLD","0.235428687376493"
"377","PRU","0.422306988017358"
"378","PEG","0.204372428549216"
"379","PSA","0.958500622267829"
"380","PHM","0.104301475138082"
"381","PVH","0.715884135109289"
"382","QEP","0.196256912296516"
"383","PWR","0.173760615394448"
"384","QCOM","0.418806291846043"
"385","DGX","0.381583826170867"
"386","RRC","0.468159363302043"
"387","RTN","0.413538348522147"
"388","RHT","0.339803015570522"
"389","REGN","1.29733521880306"
"390","RF","0.052437352473791"
"391","RSG","0.201064541347578"
"392","RAI","0.287817046798402"
"393","RHI","0.21620442980279"
"394","ROK","0.571804135597643"
"395","COL","0.401889733960326"
"396","ROP","0.762342019354867"
"397","ROST","0.42115782680961"
"398","RDC","0.226988086926418"
"399","R","0.357181598652236"
"400","SWY","0.150723217520389"
"401","CRM","0.278850028665774"
"402","SNDK","0.342445457366048"
"403","SCG","0.303620868844014"
"404","SLB","0.503238350534262"
"405","SNI","0.41979094579603"
"406","STX","0.234361840040918"
"407","SEE","0.145404929445862"
"408","SRE","0.485731117120338"
"409","SHW","1.02597001557064"
"410","SIAL","0.51061929067102"
"411","SPG","0.998721342374948"
"412","SLM","0.128696225236359"
"413","SJM","0.603741832767698"
"414","SNA","0.533740496290513"
"415","SO","0.277740080841914"
"416","LUV","0.0804326011555474"
"417","SWN","0.231738740650923"
"418","SE","0.200500888284889"
"419","STJ","0.293836483384122"
"420","SWK","0.495326168712598"
"421","SPLS","0.0903603805059763"
"422","SBUX","0.399551154990441"
"423","HOT","0.399319480752841"
"424","STT","0.363976373274517"
"425","SRCL","0.669351268048249"
"426","SYK","0.405391603873358"
"427","STI","0.191053753471436"
"428","SYMC","0.135665263688716"
"429","SYY","0.205320096666734"
"430","TROW","0.452412942423978"
"431","TGT","0.407897527405664"
"432","TEL","0.272459942026585"
"433","TE","0.110506738844808"
"434","THC","0.225103692207716"
"435","TDC","0.393635823566728"
"436","TER","0.107348917309869"
"437","TSO","0.283687043594726"
"438","TXN","0.222771980128546"
"439","TXT","0.181445638435553"
"440","HSY","0.525174198154776"
"441","TRV","0.488062599275064"
"442","TMO","0.492881793664698"
"443","TIF","0.457373934474454"
"444","TWX","0.339317418260196"
"445","TWC","0.642457189432902"
"446","TJX","0.315051705438478"
"447","TMK","0.390955027773539"
"448","TSS","0.164118492725491"
"449","TRIP","0.354045190796609"
"450","FOXA","0.16733398717548"
"451","TSN","0.15336085723185"
"452","TYC","0.203010324629955"
"453","USB","0.221934207627621"
"454","UNP","0.891854636072706"
"455","UNH","0.400570608686203"
"456","UPS","0.540517049385725"
"457","X","0.148020171492854"
"458","UTX","0.590968576436316"
"459","UNM","0.167776729637605"
"460","URBN","0.240963122105773"
"461","VFC","0.283312117180382"
"462","VLO","0.215755529496697"
"463","VAR","0.456355287634405"
"464","VTR","0.40725653382294"
"465","VRSN","0.304629188843842"
"466","VZ","0.290246687161085"
"467","VRTX","0.395542691226287"
"468","VIAB","0.409540431634259"
"469","V","1.04651456281782"
"470","VNO","0.532522696719584"
"471","VMC","0.322669784240381"
"472","WMT","0.466351246992199"
"473","WAG","0.282133274074169"
"474","DIS","0.367501705096154"
"475","WPO","2.93283652391943"
"476","WM","0.243612919410252"
"477","WAT","0.607374696674111"
"478","WLP","0.472382108874938"
"479","WFC","0.241694016777219"
"480","WDC","0.341361489767175"
"481","WU","0.107041651928381"
"482","WY","0.174143585538281"
"483","WHR","0.694683473170258"
"484","WFM","0.319086937752185"
"485","WMB","0.215995460128325"
"486","WIN","0.0539982380487968"
"487","WEC","0.253755383246476"
"488","WPX","0.115362860325222"
"489","WYN","0.371188288324623"
"490","WYNN","0.825433103887019"
"491","XEL","0.178950015235055"
"492","XRX","0.0566553641405188"
"493","XLNX","0.250621455399288"
"494","XL","0.175098449645017"
"495","XYL","0.18027585197544"
"496","YHOO","0.154450083043795"
"497","YUM","0.446519584717813"
"498","ZMH","0.482083135969721"
"499","ZION","0.158761898465711"
"500","ZTS","0.190815629935724"
